feature_name,method,category,library_path,description
tubulin_intensity_total,code,intensity,code/tubulin_intensity_total/extract.py,"Measures the total integrated intensity of the Tubulin channel within segmented cell boundaries. This quantifies the overall abundance of microtubules, which can be affected by stabilizing (Taxanes) or destabilizing (Vinca alkaloids) drugs."
actin_fiber_alignment_index,code,texture,code/actin_fiber_alignment_index/extract.py,"Analyzes the directional alignment of actin filaments using gradient structure tensors or Fourier analysis. High alignment may indicate stress fibers or specific migratory phenotypes (invadopodia), while disorder suggests cytoskeletal disru"
cell_roundness_mean,code,morphology,code/cell_roundness_mean/extract.py,"Calculates the mean roundness of segmented cell bodies using the Actin (red) channel. Rounding is a key phenotype of mitotic arrest or cell detachment, contrasting with the flat, spread morphology of adherent interphase cells."
dapi_texture_entropy,code,texture,code/dapi_texture_entropy/extract.py,"Measures the entropy of the pixel intensity distribution within the nucleus (DAPI channel). High entropy corresponds to heterogeneous chromatin texture (e.g., condensation, fragmentation), which is relevant for detecting DNA damage or apopt"
tubulin_actin_overlap_fraction,code,spatial,code/tubulin_actin_overlap_fraction/extract.py,"Computes the Manders' overlap coefficient or similar metric to quantify the fraction of Tubulin signal that spatially overlaps with Actin signal. This reflects the interplay between the microtubule and actin cytoskeletons, which is disrupte"
cell_confluence_ratio,code,distribution,code/cell_confluence_ratio/extract.py,"Computes the ratio of the total area covered by cells (union of Actin and Tubulin signals) to the total image area. This serves as a proxy for cell density and proliferation inhibition, which are primary effects of cytotoxic drugs."
dapi_intensity_std,code,intensity,code/dapi_intensity_std/extract.py,"Computes the standard deviation of pixel intensities within segmented nuclei in the DAPI channel. This measures chromatin condensation and texture heterogeneity, which are key indicators of DNA damage or apoptosis."
actin_radial_distribution,code,spatial,code/actin_radial_distribution/extract.py,Calculates the intensity of Actin signal as a function of distance from the nuclear centroid (radial profile). This distinguishes cells with cortical actin (ring-like) from those with diffuse or stress fiber actin throughout the cytoplasm.
tubulin_texture_contrast,code,texture,code/tubulin_texture_contrast/extract.py,"Computes the Haralick Contrast feature for the Tubulin channel. This measures the local intensity variation, helping to distinguish between smooth, diffuse tubulin staining and sharp, fibrous microtubule networks."
cytoplasm_nucleus_area_ratio,code,morphology,code/cytoplasm_nucleus_area_ratio/extract.py,Calculates the ratio of cytoplasmic area (Cell Area - Nuclear Area) to Nuclear Area. This 'N:C ratio' is a classic cytological metric that changes in cancer and senescence.
nucleus_area_mean,code,morphology,code/nucleus_area_mean/extract.py,"Calculates the mean area of segmented nuclei based on the DAPI channel. Changes in nuclear size can indicate cell cycle arrest (enlargement) or apoptosis (shrinkage/fragmentation), relevant to drug mechanism of action."
dapi_texture_haralick_contrast_mean,code,texture,code/dapi_texture_haralick_contrast_mean/extract.py,"Computes the mean Haralick contrast of the DAPI intensity within segmented nuclei. This quantifies chromatin condensation and texture heterogeneity, which are key markers for DNA damage and apoptosis."
micronuclei_count_mean,code,morphology,code/micronuclei_count_mean/extract.py,"Counts the average number of small, detached DAPI-positive objects near the main nucleus per cell. The RAG explicitly links micronuclei to genomic instability and mitotic slippage (e.g., Vincristine effects), making this a high-value biolog"
tubulin_intensity_skewness_mean,code,intensity,code/tubulin_intensity_skewness_mean/extract.py,"Computes the skewness of the pixel intensity distribution in the Tubulin channel for each cell. High skewness can indicate the presence of bright, bundled microtubules (e.g., Taxol effect) versus a more diffuse distribution."
tubulin_fiber_alignment_index,code,texture,code/tubulin_fiber_alignment_index/extract.py,"Measures the directionality or alignment of structures in the Tubulin channel using gradient structure tensors or Fourier analysis. High alignment may indicate microtubule bundling (Taxol effect), while low alignment suggests a disordered n"
tubulin_radial_concentration_ratio,code,spatial,code/tubulin_radial_concentration_ratio/extract.py,Calculates the ratio of Tubulin intensity in the perinuclear region versus the cell periphery. This helps identify phenotypes like monoastral spindles (central concentration) versus spread interphase networks.
actin_cell_area_mean,code,morphology,code/actin_cell_area_mean/extract.py,"Calculates the mean area of the entire cell body defined by the Actin cytoskeleton. Changes in cell spread and size are indicative of cytoskeletal reorganization, detachment, or senescence (enlarged cells)."
actin_eccentricity_mean,code,morphology,code/actin_eccentricity_mean/extract.py,"Computes the eccentricity of the cell shape based on the Actin cytoskeleton. This quantifies cell elongation versus rounding, which is critical for identifying cells in mitotic arrest (rounded) or senescence (flattened/elongated)."
