drug,moa,source
alsterpaullone,Kinase inhibitors,cellpainting
anisomycin,Protein synthesis,cellpainting
atropine,Acetylcholine receptor antagonist,L1000
camptothecin,DNA replication,cellpainting
chlorambucil,DNA damage,cellpainting
cisplatin,DNA damage,cellpainting
colchicine,Microtubule destabilizers,cellpainting
cyclophosphamide,DNA alkylating agent,L1000
docetaxel,Microtubule stabilizers,cellpainting
doxorubicin,Topoisomerase inhibitor,L1000
emetine,Protein synthesis,cellpainting
etoposide,DNA damage,cellpainting
floxuridine,DNA replication,cellpainting
forskolin,Adenylyl cyclase activator,L1000
genistein,Tyrosine kinase inhibitor,L1000
hydroxyurea,Ribonucleoside reductase inhibitor,L1000
ly-294002,PLK inhibitor; mTOR inhibitor; Phosphodiesterase inhibitor; DNA dependent protein kinase inhibitor,L1000
methotrexate,DNA replication,cellpainting
mg-132,Protein degradation,cellpainting
mitoxantrone,DNA replication,cellpainting
monastrol,Kinesin inhibitor,L1000
nocodazole,Microtubule destabilizers,cellpainting
olomoucine,CDK inhibitor,L1000
pd-98059,MEK inhibitor; MAP kinase inhibitor,L1000
pp-2,Epithelial,cellpainting
quercetin,Polar auxin transport inhibitor,L1000
raloxifene,Estrogen receptor antagonist; Selective estrogen receptor modulator,L1000
roscovitine,CDK inhibitor,L1000
sb-202190,P38 MAPK inhibitor,L1000
sb-203580,P38 MAPK inhibitor,L1000
simvastatin,Cholesterol-lowering,cellpainting
staurosporine,PKC inhibitor,L1000
temozolomide,DNA alkylating agent,L1000
tunicamycin,GLCNAC phosphotransferase inhibitor,L1000
vinblastine,Tubulin inhibitor; Microtubule inhibitor,L1000
vincristine,Microtubule destabilizers,cellpainting
y-27632,Rho associated kinase inhibitor,L1000
