bp_id,bp_en,bp_zh,sa_id,sa_local_id,sa_en,sa_zh,n_features,features
BP01,Intracellular sorting,细胞内分选,BP01_SA1,SA1,Perinuclear ring,核周环,27,code_cytoplasm_nuclear_tau_enrichment_ratio;code_nuclear_ring_tau_azimuthal_heterogeneity;code_perinuclear_low_tau_crescent_eccentricity;code_perinuclear_tau_annular_gap_length_cv;code_perinuclear_tau_annulus_radial_phase_lag;code_perinuclear_tau_cap_angular_sharpness;code_perinuclear_tau_cap_resultant_strength;code_perinuclear_tau_closing_gap_recovery;code_perinuclear_tau_enrichment_ratio;code_perinuclear_tau_ring_width_halfmax;code_perinuclear_tau_shadow_sector_fraction;code_perinuclear_tau_shell_angular_mad;code_perinuclear_tau_shell_enrichment;code_perinuclear_tau_signal_fraction;code_tau_perinuclear_peak_offset_normalized;code_tau_puncta_perinuclear_enrichment_ratio;vlm_nuclear_bipolar_tau_cap_score;vlm_nuclear_clearance_shadow_orientation_score;vlm_perinuclear_cytoplasm_thickness_imbalance_score;vlm_perinuclear_tau_band_width_irregularity_score;vlm_perinuclear_tau_crescent_bias_score;vlm_perinuclear_tau_crowding_score;vlm_perinuclear_tau_enrichment_score;vlm_perinuclear_tau_ring_completeness_score;vlm_perinuclear_tau_sector_compaction_score;vlm_perinuclear_tau_sector_edge_synchrony_score;vlm_perinuclear_to_peripheral_grain_size_transition_score
BP01,Intracellular sorting,细胞内分选,BP01_SA2,SA2,Nuclear–cytoplasmic compartments,核–胞质区室,9,code_cytoplasmic_tau_nuclear_exclusion_ratio;code_nuclear_exclusion_front_sharpness_cv;code_nuclear_tau_exclusion_index;code_nucleus_to_edge_tau_onoff_transition_density;code_tau_nuclear_clearance_depth_integral;vlm_droplet_nuclear_avoidance_zone_score;vlm_nuclear_tau_exclusion_clarity_score;vlm_nuclear_tau_intrusion_score;vlm_nucleus_to_edge_tau_clearance_asymmetry_score
BP01,Intracellular sorting,细胞内分选,BP01_SA3,SA3,Boundary / cortex,边界/皮层,8,code_aggregate_nuclear_proximity_weighted_intensity;code_nuclear_boundary_tau_gradient_peak;code_nuclear_cytoplasm_tau_interface_contrast_cv;code_nuclear_tau_aggregate_contact_arc_fraction;code_nuclear_tau_boundary_patch_fragmentation;vlm_filament_nuclear_tangential_wrapping_score;vlm_nuclear_boundary_tau_contact_pressure_score;vlm_nuclear_proximity_tau_object_size_gradient_score
BP01,Intracellular sorting,细胞内分选,BP01_SA4,SA4,Whole-cell geometry,整细胞几何,8,code_tau_centroid_to_nucleus_axis_alignment;code_tau_half_mass_distance_from_nucleus;code_tau_intensity_centroid_offset_from_nucleus;code_tau_mass_nucleus_cell_axis_third_moment;code_tau_nucleus_distance_intensity_mutual_information;code_tau_radial_distance_kurtosis_about_nucleus;code_tau_radial_intensity_slope_from_nucleus;vlm_tau_puncta_perinuclear_sg_clustering_score
BP02,Spatial polarization,空间极化,BP02_SA1,SA1,Perinuclear ring,核周环,5,code_cytoplasmic_tau_angular_polarity;code_tau_angular_second_harmonic_strength;code_tau_angular_sector_entropy_deficit;code_tau_shape_axis_mass_laterality;vlm_cell_long_axis_tau_cap_enrichment_score
BP02,Spatial polarization,空间极化,BP02_SA2,SA2,Cytoplasm / soma,胞质/胞体,8,code_cell_periphery_tau_enrichment;code_cytoplasm_tau_interior_periphery_variance_ratio;code_cytoplasmic_tau_opening_spectrum_centroid;vlm_soma_dominant_tau_visual_score;vlm_soma_edge_tau_leakage_score;vlm_somatic_tau_dominance_score;vlm_tau_compartment_mislocalization_visual;vlm_tau_structure_compartmental_segregation_score
BP02,Spatial polarization,空间极化,BP02_SA3,SA3,Radial shell,径向壳层,14,code_cell_tau_distal_geodesic_mass_fraction;code_cell_tau_geodesic_distance_dispersion;code_cell_tau_radial_entropy;code_cytoplasm_tau_radial_decile_heterogeneity;code_cytoplasm_tau_radial_mass_iqr_width;code_cytoplasm_tau_radial_quantile_bow;code_cytoplasmic_tau_radial_enrichment_bandwidth;code_cytoplasmic_tau_radial_peak_prominence;code_cytoplasmic_tau_radial_transition_total_variation;code_radial_tau_distribution_entropy;code_tau_geodesic_profile_inflection_count;code_tau_radial_chord_continuity_median;code_tau_radial_mass_earthmover_distance;code_tau_radial_shell_mass_skewness
BP02,Spatial polarization,空间极化,BP02_SA4,SA4,Whole-cell geometry,整细胞几何,8,code_cell_tau_medial_axis_affinity;code_cytoplasm_tau_isolevel_centroid_tortuosity;code_high_tau_centroid_delaunay_length_cv;code_tau_intensity_centroid_centrality;code_tau_mass_covariance_elongation;code_tau_mass_principal_axis_kurtosis;vlm_cytoplasmic_tau_shear_flow_alignment_score;vlm_tau_mass_centroid_offcenter_score
BP03,Neurite trafficking,神经突转运,BP03_SA1,SA1,Cytoplasm / soma,胞质/胞体,2,vlm_soma_neurite_texture_transition_abruptness_score;vlm_soma_process_tau_blending_score
BP03,Neurite trafficking,神经突转运,BP03_SA2,SA2,Neurites / processes,神经突/突起,4,vlm_axonal_polarity_loss_visual;vlm_cell_process_tau_taper_preservation_score;vlm_neurite_tau_phase_slip_banding_score;vlm_neurite_tau_taper_mismatch_score
BP03,Neurite trafficking,神经突转运,BP03_SA3,SA3,Branch points,分支点,5,vlm_branch_like_tau_invasion_score;vlm_dendritic_branch_order_tau_persistence_score;vlm_dendritic_branchpoint_tau_nodal_score;vlm_dendritic_tau_branch_order_gradient_reversal_score;vlm_dendritic_thread_knot_entanglement_score
BP03,Neurite trafficking,神经突转运,BP03_SA4,SA4,Process terminals,突起终末,4,vlm_distal_neurite_tau_continuity_score;vlm_distal_neurite_terminal_bulb_tau_score;vlm_neurite_aggregate_comet_tail_orientation_score;vlm_terminal_sheet_like_tau_spread_score
BP03,Neurite trafficking,神经突转运,BP03_SA5,SA5,Process shafts,突起干,5,vlm_dendritic_thread_inclusion_score;vlm_neurite_bead_size_distance_trend_score;vlm_neurite_beading_fragmentation_score;vlm_neurite_shaft_tau_swelling_score;vlm_proximal_neurite_tau_choke_point_score
BP04,Condensate dynamics,凝聚体动态,BP04_SA1,SA1,Local texture,局部纹理,3,code_cytoplasm_tau_spot_to_haze_energy_ratio;vlm_cytoplasmic_granular_haze_score;vlm_diffuse_to_punctate_soma_conversion_score
BP04,Condensate dynamics,凝聚体动态,BP04_SA2,SA2,Puncta / granules / foci,点状/颗粒/焦点,11,code_cytoplasmic_tau_blob_scale_geometric_mean;code_cytosolic_tau_log_blob_scale_cv;code_droplet_boundary_tau_gradient_enrichment;code_droplet_tau_asymmetric_cap_fraction;code_droplet_tau_centroid_offset_index;code_droplet_tau_fraction_of_cell_signal;code_droplet_tau_hotspot_proximity_index;code_droplet_tau_recruitment_contrast;code_tau_log_punctateness_index;vlm_punctate_tau_condensate_burden_score;vlm_somatic_tau_microgranule_density_score
BP04,Condensate dynamics,凝聚体动态,BP04_SA3,SA3,Filaments / ridges,细丝/脊线,9,code_cytoplasmic_tau_hessian_blob_ridge_balance;code_filament_tau_beading_coefficient;vlm_bundle_surface_puncta_decoration_score;vlm_droplet_bundle_wetting_flattening_score;vlm_droplet_filament_anchor_multiplicity_score;vlm_droplet_filament_endpoint_tethering_score;vlm_droplet_filament_interface_seeding_score;vlm_droplet_size_gradient_along_filaments_score;vlm_punctate_to_filamentous_tau_balance
BP04,Condensate dynamics,凝聚体动态,BP04_SA4,SA4,Composite objects,复合对象,18,code_cytosolic_tau_puncta_spacing_mad_ratio;code_tau_puncta_ripley_l_peak;vlm_cytoplasmic_tau_puncta_lattice_order_score;vlm_cytoplasmic_tau_puncta_pair_spacing_dispersion_score;vlm_droplet_attachment_fraction_visual_score;vlm_droplet_clusteredness_score;vlm_droplet_coalescence_necking_score;vlm_droplet_contact_side_tau_polarity_score;vlm_droplet_interstitial_tau_web_trapping_score;vlm_droplet_peripheral_enrichment_score;vlm_droplet_population_dominance_score;vlm_droplet_satellite_puncta_collar_score;vlm_droplet_shadow_overlap_field_score;vlm_droplet_size_assortative_neighborhood_score;vlm_droplet_size_radial_sorting_score;vlm_droplet_string_spacing_regularity_score;vlm_somatic_puncta_radial_bias_score;vlm_stress_granule_like_tau_puncta_uniformity_score
BP04,Condensate dynamics,凝聚体动态,BP04_SA5,SA5,Boundary / cortex,边界/皮层,8,code_tau_condensate_intensity_size_allometry;vlm_droplet_internal_tau_mottling_score;vlm_droplet_rim_bead_angular_periodicity_score;vlm_droplet_rim_sector_polarization_score;vlm_droplet_size_rim_brightness_order_score;vlm_droplet_tau_rim_core_inversion_score;vlm_tau_condensate_core_shell_contrast_score;vlm_tau_condensate_shell_thickness_heterogeneity_score
